1 0 6745
2 6745 8251
3 14996 3747
4 18743 5052
5 23795 3532
6 27327 1920
7 29247 1023
8 30270 1442
9 31712 1201
10 32913 2131
11 35044 1331
12 36375 1770
13 38145 1840
14 39985 1836
15 41821 7699
16 49520 18387
17 67907 3911
18 71818 4443
19 76261 3378
20 79639 3581
21 83220 10545
22 93765 4097
23 97862 1251
24 99113 926
25 100039 1538
26 101577 999
27 102576 2007
28 104583 4496
29 109079 1664
30 110743 6276
31 117019 7732
32 124751 2027
33 126778 4037
34 130815 2707
35 133522 4805
36 138327 8882
37 147209 5011
38 152220 8009
39 160229 4819
40 165048 10073
41 175121 2246
42 177367 1651
43 179018 2135
44 181153 1910
45 183063 2471
46 185534 2929
47 188463 2617
48 191080 13336
49 204416 2524
50 206940 2295
51 209235 3121
52 212356 1622
53 213978 4755
54 218733 7035
55 225768 3695
56 229463 3462
57 232925 2882
58 235807 5913
59 241720 3119
60 244839 5894
61 250733 4808
62 255541 13770
63 269311 3866
64 273177 3005
65 276182 1659
66 277841 8144
67 285985 5727
68 291712 12538
69 304250 3851
70 308101 2240
71 310341 5503
72 315844 7963
73 323807 10178
74 333985 3638
75 337623 3424
76 341047 2220
77 343267 3819
78 347086 2066
79 349152 1519
80 350671 7414
81 358085 1056
82 359141 980
83 360121 1713
84 361834 3314
85 365148 1861
86 367009 4097
87 371106 2206
88 373312 4063
89 377375 1433
90 378808 4956
91 383764 2638
92 386402 1789
93 388191 2012
94 390203 1522
95 391725 4465
96 396190 4699
97 400889 17289
98 418178 2497
99 420675 14820
100 435495 9347
101 444842 8555
102 453397 5265
103 458662 11902
104 470564 3882
105 474446 5474
106 479920 5058
107 484978 24835
108 509813 2505
109 512318 5420
110 517738 5529
111 523267 4663
112 527930 4458
113 532388 24465
114 556853 2445
115 559298 5823
116 565121 16207
117 581328 2344
118 583672 6125
119 589797 3732
120 593529 6929
121 600458 7820
122 608278 34523
123 642801 2428
124 645229 4895
125 650124 6247
126 656371 4642
127 661013 2720
128 663733 21945
129 685678 5658
130 691336 5275
131 696611 2676
132 699287 4992
133 704279 4755
134 709034 6114
135 715148 4809
136 719957 23019
137 742976 5185
138 748161 4391
139 752552 5570
140 758122 2611
141 760733 5041
142 765774 6010
143 771784 3612
144 775396 5645
145 781041 6070
146 787111 6691
147 793802 5724
148 799526 5225
149 804751 4266
150 809017 7326
151 816343 5312
152 821655 4940
153 826595 25514
154 852109 5239
155 857348 9977
156 867325 4655
157 871980 4393
158 876373 6408
159 882781 24701
160 907482 5944
161 913426 4459
162 917885 4342
163 922227 5375
164 927602 19566
165 947168 2811
166 949979 8506
167 958485 8396
168 966881 5540
169 972421 8054
170 980475 5577
171 986052 24370
172 1010422 4271
173 1014693 7222
174 1021915 5209
175 1027124 5444
176 1032568 16069
177 1048637 5285
178 1053922 4501
179 1058423 4574
180 1062997 9542
181 1072539 4623
182 1077162 5019
183 1082181 3497
184 1085678 9477
185 1095155 4246
186 1099401 5702
187 1105103 5667
188 1110770 5378
189 1116148 19547
190 1135695 6880
191 1142575 3906
192 1146481 3275
193 1149756 11491
194 1161247 4954
195 1166201 22948
196 1189149 3016
197 1192165 4953
198 1197118 4859
199 1201977 5744
200 1207721 3056
201 1210777 4855
202 1215632 4198
203 1219830 4828
204 1224658 6729
205 1231387 27487
206 1258874 16527
207 1275401 2650
208 1278051 3011
209 1281062 3662
210 1284724 4097
211 1288821 11467
212 1300288 5956
213 1306244 13620
214 1319864 7200
215 1327064 5434
216 1332498 32629
217 1365127 13689
218 1378816 11586
219 1390402 7688
220 1398090 13098
221 1411188 4927
222 1416115 3411
223 1419526 8979
224 1428505 3179
225 1431684 3766
226 1435450 2758
227 1438208 4917
228 1443125 16986
229 1460111 2811
230 1462922 4768
231 1467690 7785
232 1475475 4840
233 1480315 2450
234 1482765 6122
235 1488887 22401
236 1511288 2804
237 1514092 2423
238 1516515 2942
239 1519457 3306
240 1522763 19172
241 1541935 4804
